ImageId,ship_or_not
0001124c7.jpg,0
000155de5.jpg,1
00021ddc3.jpg,1
0002756f7.jpg,1
000303d4d.jpg,0
00031f145.jpg,1
00052ed46.jpg,0
000532683.jpg,1
00057a50d.jpg,0
0005d6d95.jpg,1
0006c52e8.jpg,1
0007b8229.jpg,0
000805313.jpg,0
0008d6216.jpg,0
000913daf.jpg,0
000952d51.jpg,0
000969125.jpg,0
0009a46e1.jpg,0
000a4d4fd.jpg,0
000baef0c.jpg,0
000bd9ac4.jpg,0
000c150b0.jpg,0
000c34352.jpg,0
000d26c17.jpg,0
000e37fc6.jpg,0
000e6378b.jpg,1
000e64855.jpg,0
000f1f959.jpg,0
000f7e728.jpg,0
0010e88ce.jpg,0
0010eefb1.jpg,0
00113a75c.jpg,1
00119e4ba.jpg,0
0011a9ccb.jpg,0
0011c31b7.jpg,0
00122061c.jpg,0
001234638.jpg,1
0012669a8.jpg,0
0012be3bb.jpg,0
0013b2222.jpg,0
00140e597.jpg,0
0014b1235.jpg,0
001566f7c.jpg,1
00160335a.jpg,0
00167446e.jpg,0
0016a2ab9.jpg,0
0016ae695.jpg,0
0016bc1a8.jpg,0
001739657.jpg,0
001768e84.jpg,0
001883b1b.jpg,0
0018e5d6c.jpg,1
0018f7728.jpg,0
0019444bc.jpg,0
001948368.jpg,0
00196e715.jpg,0
0019880c1.jpg,0
0019fc4d8.jpg,1
001a7cba8.jpg,0
001ac9fa5.jpg,0
001ae1b37.jpg,0
001aee007.jpg,1
001bcf222.jpg,1
001dd855d.jpg,0
001e418bc.jpg,1
001ea610a.jpg,0
001eb2794.jpg,1
001ed8b9b.jpg,1
001eda01f.jpg,1
001f3caca.jpg,0
002077cf3.jpg,0
00220176b.jpg,0
002237256.jpg,0
0022cade7.jpg,0
0022f64e5.jpg,1
0023b2b72.jpg,0
0023b39c3.jpg,0
00240e745.jpg,0
0024786e1.jpg,0
002490fe4.jpg,0
00249d8ad.jpg,0
0024c3726.jpg,0
00269a792.jpg,1
0026f7ea5.jpg,0
00293fb9e.jpg,0
002943412.jpg,1
0029673da.jpg,0
0029a4e84.jpg,0
002a4ab34.jpg,0
002aae251.jpg,0
002abd5df.jpg,0
002abf883.jpg,0
002adc40c.jpg,0
002aef0e2.jpg,0
002b96007.jpg,0
002c872c1.jpg,0
002d107b5.jpg,0
002d56570.jpg,1
002deeb16.jpg,1
002e42551.jpg,0
002e4ecce.jpg,0
002e85393.jpg,1
002e8a977.jpg,0
002eba124.jpg,0
002fdcf51.jpg,1
003080f2f.jpg,0
00319c32d.jpg,1
0032158a0.jpg,0
003385133.jpg,0
003520305.jpg,1
0036c3aa8.jpg,0
0036df7bb.jpg,0
00371aa92.jpg,1
00374ccfa.jpg,0
003794048.jpg,0
0037dda6b.jpg,0
00383c855.jpg,0
003857112.jpg,0
00387da9b.jpg,0
0038cbe45.jpg,1
0038fa4c9.jpg,0
00390d79a.jpg,0
00391726f.jpg,0
00397761d.jpg,0
0039b40ac.jpg,0
